mz,int,formula
205.014247,581.3,C10H6O5
205.035376,76.7,C7H10O7
205.050632,697,C11H10O4
205.087017,375.4,C12H14O3
205.123403,150.4,C13H18O2
206.009495,34.9,C9H5N1O5
206.045881,81.4,C10H9N1O4
206.082266,26.5,C11H13N1O3
206.993511,215.2,C9H4O6
206.996882,4.6,C6H8O6S1
207.029897,789.4,C10H8O5
207.045153,29.7,C14H8O2
207.051026,12.6,C7H12O7
207.066282,483.3,C11H12O4
207.102667,236.1,C12H16O3
207.139053,32.4,C13H20O2
208.025146,71.3,C9H7N1O5
208.061531,68.7,C10H11N1O4
209.009161,580.2,C9H6O6
209.012532,7.2,C6H10O6S1
209.024417,20.3,C13H6O3
209.045547,660.2,C10H10O5
209.05678,1.6,C9H10N2O4
209.060803,164.4,C14H10O2
209.081932,335,C11H14O4
209.118317,92.9,C12H18O3
210.040796,72.2,C9H9N1O5
210.056052,14.4,C13H9N1O2
210.077181,13,C10H13N1O4
211.024811,791.8,C9H8O6
211.040067,275.2,C13H8O3
211.061196,508.9,C10H12O5
211.076453,165.1,C14H12O2
211.097582,174.8,C11H16O4
212.02006,33.1,C8H7N1O6
212.035316,33.4,C12H7N1O3
212.056445,41.9,C9H11N1O5
212.071702,7.4,C13H11N1O2
213.004076,286,C8H6O7
213.019332,188.1,C12H6O4
213.040461,485.1,C9H10O6
213.055717,334.9,C13H10O3
213.076847,255.3,C10H14O5
213.092103,145.2,C14H14O2
214.014581,4.2,C11H5N1O4
214.03571,18.9,C8H9N1O6
214.050966,37.7,C12H9N1O3
214.072096,5.1,C9H13N1O5
214.998596,52.3,C11H4O5
215.019726,357.6,C8H8O7
215.034982,398.6,C12H8O4
215.056111,232.2,C9H12O6
215.071367,307.1,C13H12O3
215.092497,53.1,C10H16O5
215.107753,123.9,C14H16O2
216.030231,14.4,C11H7N1O4
216.05136,7.2,C8H11N1O6
216.066616,27.9,C12H11N1O3
216.981232,3.6,C7H6O6S1
217.014247,282.5,C11H6O5
217.035376,134,C8H10O7
217.050632,477.8,C12H10O4
217.071761,54.5,C9H14O6
217.087017,255.7,C13H14O3
217.108147,10,C10H18O5
217.123403,108.3,C14H18O2
218.009495,2.3,C10H5N1O5
218.045881,58.6,C11H9N1O4
218.082266,14.2,C12H13N1O3
218.993511,71.4,C10H4O6
218.996882,1.8,C7H8O6S1
219.029897,556.7,C11H8O5
219.045153,10.2,C15H8O2
219.051026,11.1,C8H12O7
219.066282,400.1,C12H12O4
219.102667,216,C13H16O3
219.139053,56.1,C14H20O2
220.025146,32.3,C10H7N1O5
220.061531,46.1,C11H11N1O4
220.097916,3.8,C12H15N1O3
221.009161,450.8,C10H6O6
221.045547,530.1,C11H10O5
