mz,int,formula
194.091112,7024633,C10H14O3 13C1
194.127537,3899401,C11H18O2 13C1
194.994257,8950130,C8H4O6
195.030653,48128384,C9H8O5
195.045897,11981191,C13H8O2
195.067039,59482512,C10H12O4
195.103415,36348316,C11H16O3
196.034013,4598536,C8H8O5 13C1
196.070396,7025429,C9H12O4 13C1
196.10678,5002019,C10H16O3 13C1
197.00992,20677738,C8H6O6
197.025168,9028719,C12H6O3
197.046314,43017336,C9H10O5
197.061564,21677180,C13H10O2
197.082696,37004420,C10H14O4
197.119077,10097807,C11H18O3
198.049659,3831239,C8H10O5 13C1
198.064904,4475340,C12H10O2 13C1
198.086047,3204563,C9H14O4 13C1
199.025568,19252982,C8H8O6
199.04084,35219196,C12H8O3
199.061954,29337346,C9H12O5
199.077229,27961094,C13H12O2
199.098343,13870860,C10H16O4
199.113606,6866705,C14H16O1
199.171123,10229538,C12H24O2
200.044201,4724763,C11H8O3 13C1
200.080552,3792933,C12H12O2 13C1
201.020109,30501148,C11H6O4
201.041226,17180962,C8H10O6
201.056501,64137508,C12H10O3
201.077617,10479914,C9H14O5
201.09288,32942382,C13H14O2
201.129252,6707512,C14H18O1
202.023456,5720590,C10H6O4 13C1
202.05174,9726485,C11H9N1O3
202.059852,6781463,C11H10O3 13C1
202.096286,3942943,C12H14O2 13C1
202.999387,16657125,C10H4O5
203.02049,6470378,C7H8O7
203.035764,79473392,C11H8O4
203.056883,6036209,C8H12O6
203.072136,79014648,C12H12O3
203.10854,37038844,C13H16O2
203.14492,5778180,C14H20O1
204.031017,7883699,C10H7N1O4
204.039136,7875509,C10H8O4 13C1
204.067387,10820538,C11H11N1O3
204.075492,9522108,C11H12O3 13C1
204.11189,3953603,C12H16O2 13C1
205.015026,59124836,C10H6O5
205.051419,89205864,C11H10O4
205.087812,67873904,C12H14O3
205.124181,33582200,C13H18O2
206.018398,6708487,C9H6O5 13C1
206.046665,13159691,C10H9N1O4
206.054767,12053772,C10H10O4 13C1
206.09117,9727250,C11H14O3 13C1
206.127538,5750039,C12H18O2 13C1
206.994314,20729236,C9H4O6
207.030682,67120536,C10H8O5
207.067086,75214240,C11H12O4
207.103456,59944356,C12H16O3
207.139858,11660711,C13H20O2
208.03405,4998680,C9H8O5 13C1
208.062322,11423259,C10H11N1O4
208.070455,11124252,C10H12O4 13C1
208.106811,6983201,C11H16O3 13C1
209.009974,23219846,C9H6O6
209.046338,68890248,C10H10O5
209.061615,16739979,C14H10O2
209.082744,63483532,C11H14O4
209.119118,29699728,C12H18O3
210.041596,9326313,C9H9N1O5
210.049743,6926058,C9H10O5 13C1
210.086091,8789741,C10H14O4 13C1
210.122495,3530481,C11H18O3 13C1
211.025633,29454140,C9H8O6
211.040878,29060924,C13H8O3
211.062013,54439744,C10H12O5
211.077253,23883584,C14H12O2
211.098385,44216128,C11H16O4
211.134753,7335748,C12H20O3
212.036124,8335235,C12H7N1O3
212.044222,3614595,C12H8O3 13C1
212.065381,7581573,C9H12O5 13C1
212.080617,4714374,C13H12O2 13C1
212.10173700000001,5656455,C10H16O4 13C1
213.004912,6455228,C8H6O7
213.020145,27242428,C12H6O4
213.04127,33959868,C9H10O6
213.05654,51294144,C13H10O3
213.07766,36548544,C10H14O5
213.092931,24817600,C14H14O2
213.114044,8667074,C11H18O4
214.02353,5246957,C11H6O4 13C1
214.044632,3487726,C8H10O6 13C1
214.059894,6803439,C12H10O3 13C1
214.081047,3891183,C9H14O5 13C1
214.096276,3346416,C13H14O2 13C1
214.99942,9506834,C11H4O5
215.020565,11530259,C8H8O7
215.035811,60796948,C12H8O4
215.056952,19181588,C9H12O6
215.07219,65810452,C13H12O3
215.093345,10579989,C10H16O5
215.108572,30060566,C14H16O2
216.031047,6819889,C11H7N1O4
216.03917,9498673,C11H8O4 13C1
216.067445,10858545,C12H11N1O3
216.075545,10919986,C12H12O3 13C1
216.111933,5208115,C13H16O2 13C1
217.015095,40448068,C11H6O5
217.036224,10293318,C8H10O7
217.051479,87535688,C12H10O4
217.072568,7368775,C9H14O6
217.087866,61321288,C13H14O3
217.124244,26128456,C14H18O2
218.018448,6127700,C10H6O5 13C1
218.046725,11923540,C11H9N1O4
218.05482,12169300,C11H10O4 13C1
218.083114,9568341,C12H13N1O3
218.091199,10018901,C12H14O3 13C1
218.127574,4534357,C13H18O2 13C1
218.994368,13291612,C10H4O6
219.030751,77115488,C11H8O5
219.067142,84717664,C12H12O4
219.103524,61419612,C13H16O3
219.139907,18862172,C14H20O2
220.026008,6971488,C10H7N1O5
220.034095,10383455,C10H8O5 13C1
220.062389,14225504,C11H11N1O4
220.070462,12734560,C11H12O4 13C1
220.106871,10608736,C12H16O3 13C1
221.010022,41889888,C10H6O6
221.046398,83144800,C11H10O5
221.082774,94810208,C12H14O4
221.119158,54374496,C13H18O3
221.155559,6103134,C14H22O2
222.013388,5169243,C9H6O6 13C1
222.041637,12079194,C10H9N1O5
222.049763,11259994,C10H10O5 13C1
222.078038,12152922,C11H13N1O4
222.08614,9060442,C11H14O4 13C1
222.122511,5140570,C12H18O3 13C1
222.98927,13389909,C9H4O7
223.02567,48115796,C10H8O6
223.040913,15274068,C14H8O3
223.062071,78327896,C11H12O5
223.077309,17322068,C15H12O2
223.098447,72298576,C12H16O4
223.134824,20541524,C13H20O3
224.029006,4444237,C9H8O6 13C1
224.057302,15953997,C10H11N1O5
224.065408,9637965,C10H12O5 13C1
224.101828,9678924,C11H16O4 13C1
225.004939,11407429,C9H6O7
225.020206,9953349,C13H6O4
225.041316,53948484,C10H10O6
225.056578,41365572,C14H10O3
225.077718,74362952,C11H14O5
225.092966,18911300,C15H14O2
225.114113,35237956,C12H18O4
